artist_mbid,total_listen_count,total_user_count
7a1766ba-3d50-428f-b6f5-4d267248c744,469522,18032
e1d30dc5-9096-4706-95dc-486b2ab52a89,12745,1772
d576231e-c0b6-4a42-a4f4-011f06b9095c,348735,18047
6958e806-1e14-4844-a0a7-07a27756aa0f,63857,5154
82eb8936-7bf6-4577-8320-a2639465206d,11863641,201793
3f5a0c97-54c2-4648-84a7-505908d34865,13848,725
9de7b385-709f-4c11-afb5-a38ca799fbf2,595,131
142db9a8-d42d-44f4-8f3c-db20e5bdfd78,504305,31224
0e517f4b-6d89-48f0-8a11-16416bd0fdcb,1514513,34785
baf05baf-69fb-47dd-93c2-033536b8c385,2139884,66780
951d2103-9c7d-4849-ae60-88bf6aa4790b,6491575,150437
1a60d6dd-9d3e-40fc-a66d-3184f9ee0d61,8835955,146381
246b1060-628e-4b02-ba6a-afd4868a6814,497095,23879
a7208ea4-2c6f-4cf8-b321-599c901073d8,457943,23095
498e4c32-bff6-4ca8-961f-785686a8a028,2657,524
e54be6b7-5c26-4b47-bb3f-c137429b9b55,5622880,124956
3c9b356d-d1db-4f4e-a7a3-2d00c1d70255,35192,4041
36861171-a32d-414e-945e-fe9c07f84d5b,4926,831
ab74ae08-cced-49d7-a6e2-de91b219f6b0,9378,1028
f8e0694a-4ac6-445f-8f12-b2bb9bdf4967,12969,1568
23eeaeaf-423d-4859-8c91-2175ece74287,1717592,76597
1bb32c77-c4ea-421c-b05d-f8d5ec54e07c,1356,168
1fc494a1-9109-4081-a455-2d05bea9d2bf,5303971,114285
c33c4e5c-6fab-4a7a-bd72-b3a05a8938aa,66981,4891
4abebe04-1e85-427b-9950-563945850f2e,436981,22811
91dad7e7-0bf6-47e8-bd42-ef1fac32c729,2098838,75110
f3b6bb5d-9bac-41d8-8e7a-5905cba352b7,5764,459
919ccb96-12da-48f5-bd91-ec410d956048,3137699,77039
9a9f103a-acad-48e2-a2e5-0783bd650da9,213059,15236
b5c4ffa2-82e1-4b72-b7f3-c60afb74b860,4544753,116849
