recording_mbid,total_listen_count,total_user_count
1c28bfb6-a972-43bb-af7b-8a4349c547eb,,
cfefd1ec-ea03-428a-809b-983335ff19a4,10347.0,1622.0
78f1526b-7844-4376-9905-a07d022baa22,435.0,126.0
5581a42f-219b-45a6-9124-339205f43e66,18993.0,2863.0
d25e018f-1614-4cf8-9333-3bbf95e5253f,,
d49c639d-9d62-4ecd-9186-52fabd8a870a,1046.0,321.0
a7e514a7-e25b-45aa-889a-d61a55076afb,2107.0,315.0
b5cec7d5-1ad0-44e6-9534-54f8870f3d1f,522426.0,48770.0
497ddd8c-a5a9-4857-94a4-3da4a19167d3,505.0,109.0
44458351-bffc-487d-9672-07340aa15833,179099.0,22023.0
d6661613-b37f-4c76-9eb4-ac18f82a34e0,,
bfe34b68-aee4-45c2-96f1-e3605c35bc59,96828.0,13520.0
83ed5720-09e5-48d0-9d1f-1358f4c93509,1757.0,337.0
48da2ad5-62d2-4b04-984c-bdacfc539790,150757.0,18837.0
a79c55b9-68b8-404a-9261-89f3ce74b939,300812.0,42154.0
b6ad3a17-2680-4086-a49c-27228ffc4654,19408.0,3688.0
1f662182-6bf0-44f7-b012-e95f45ddfcd2,27.0,13.0
a7d9d508-9e1b-42ee-bfa0-9f58472010b9,1619.0,497.0
6647692f-81f6-40cd-86ee-81f89a335553,604.0,202.0
8a528ee7-e0da-4901-9428-db3af0f2ad91,1683.0,448.0
919deb0c-47c1-49ad-b2c7-c9d3c95e3569,9899.0,2565.0
e17fcf9d-a7c8-4524-b1eb-4193c01ac8fc,934.0,325.0
18dcabd5-c8a1-4864-abc7-4bbe8dd9545f,653.0,221.0
506cf76c-fad4-477b-9806-b13424f258f8,2.0,1.0
f68cfd94-5a11-4244-9764-3889a4c6a958,4115.0,976.0
e95db3ef-b606-4429-ab48-b6f3fb09127e,5093.0,966.0
35996a9c-075f-4faa-aaac-0148c60e327f,2234.0,521.0
5e8f5615-e5bd-49ae-981a-27ca36147ef3,868.0,189.0
28345650-c9e0-47be-bcc6-c25e2b71ebc9,102.0,2.0
4ace9c5a-a39e-40eb-999f-ca9d789090a9,569.0,144.0
583e3789-0dab-4e3b-ae88-1e8a647f39cb,2184.0,246.0
b54f2e1f-8d82-46b6-8e62-cde8d6866c7e,15477.0,1799.0
a3933b50-412f-4f83-a27e-cfcfd91fd17c,10883.0,1837.0
6d8dbb2b-2a1e-49f0-92e4-43fd5b4d6013,448.0,117.0
80058912-98e7-4b9d-80a0-ef53219fb8f0,1220.0,273.0
03f6f0d2-29c2-4931-b26d-dede80ff87dc,2741.0,829.0
c96054a0-1db4-45f8-98c9-a3fc0c1993d2,7349.0,907.0
59dfb70e-400f-41d4-96fb-0f940258a317,,
8f310e2d-3284-4be1-93fe-b3d031164397,,
a871011a-ad9b-40ad-b025-b826e80ba3b0,1586.0,304.0
a1cbb692-d87b-47db-ade2-8768439aaee9,51.0,25.0
b3a23107-9a56-410c-b518-7fec29db89b8,967.0,285.0
fcf1f909-de29-46dd-a539-c1aeb448d1c1,4019.0,494.0
892b7d43-ed0e-44b8-b5f1-03de8f9a2384,7194.0,881.0
76d4fd2f-7205-40f1-9e3e-00e1a3bf5496,6839.0,1095.0
88350a92-2a0a-452c-9d7f-36e300c74177,532.0,100.0
dcf0e9eb-6c13-42e3-aae0-fe7a8b70e72c,597.0,102.0
597c8913-22c0-410b-90ca-d2485636dfad,29.0,3.0
156e0b6b-7209-425d-87e2-f84180f6c144,43355.0,6955.0
71a86d1e-29f3-432f-b6fd-d274344909d9,5.0,2.0
f8d0d5ad-d9f0-44a2-a47f-f47f8cd31e9a,52086.0,6202.0
4cdcfe17-f53c-48ec-baa5-971561e97a62,,
1e08966d-a8b4-440b-bed4-09933f08b06f,2548.0,391.0
f7db88a2-fa5f-4841-b0f2-5ab2efc4a8e4,7833.0,3601.0
2337dddf-b051-4106-bff6-ea1cbe7d5479,10742.0,3379.0
81512381-f60c-48f8-a606-caeeef8ee3ca,,
8ea163d6-51a7-4202-9dc0-f637c570f300,778495.0,79659.0
e1f5cd75-7b7f-448b-93d2-c2c47f2f6450,6.0,3.0
36bc09e2-cbe6-43a7-92d8-5cd823c00949,1547.0,181.0
e9fdda60-0a2e-4ef1-9323-5477fee38b28,364.0,84.0
f67c7fd2-5fe2-4ede-b539-02b876f69b87,5.0,5.0
4d33ac99-bcfd-4283-a699-f76655fb7b35,,
202e3250-02a3-42e2-b4df-992aa1ebe4ac,4015.0,531.0
f1581f92-1aab-4823-9d1b-e8de2e81cd6c,582.0,150.0
b69913df-a986-459d-b4d4-025d553f5bdb,559.0,150.0
2038341d-2333-447c-8daf-320eba49f053,2786.0,767.0
c58b2488-3b5b-4f4b-8242-9a065dd0da4e,67716.0,10280.0
bc2842ac-cbd3-48d3-94a4-e4c2e405a6e1,752.0,199.0
88b3d7d1-b12b-48ef-b750-b5aa4f166d7c,726.0,156.0
c7a6f680-3002-488c-aa98-3ea20fc3dfa1,9.0,6.0
db17a6db-125c-4239-85c6-0f4da8e8afd8,1666.0,294.0
cce82c16-f5d8-494d-98f3-76defb311925,313299.0,29148.0
518d39ae-fec3-45fa-8d5e-70794355b2c5,96040.0,8121.0
e89a945e-d4a2-4cd4-a0e4-1e1136174096,3069.0,560.0
fe51732e-1134-4973-bf2d-5d250d26d9ef,141581.0,21674.0
8dbd1148-2dca-4228-b6a6-3e5c257a52dc,2026.0,370.0
9891380f-5159-4e54-8cf6-e3353cde2480,358046.0,37776.0
2ff7334e-0fab-4fca-8b8e-2a3fdc668cf7,16233.0,1895.0
d80ba4eb-aa1e-4526-8379-b33c24c08a69,127027.0,21483.0
7f4865c4-f8b6-4dc1-b62c-d5d5cb543e7b,121094.0,20878.0
2bbeb542-1e7b-4cce-ac34-a810338a7377,167905.0,26090.0
9782b6fa-822a-48c8-84c4-4683c3069337,,
6a699c2b-e544-41ee-b862-5b3b46054d1f,,
9412e20e-a461-4f4e-a4ef-bc216151546e,126986.0,21477.0
1852ff79-e349-40f1-a62f-54da1a1e810f,103879.0,18706.0
42910a5c-c4a7-413e-b978-0e71a45a3de9,144828.0,21582.0
b5d0ff51-eb34-4bb9-9e09-824e869ad275,208660.0,28787.0
d302182f-c741-416f-a21d-5c577a20dc70,27.0,17.0
ff37d881-1e0e-4563-88b6-5acb917c0756,114450.0,20007.0
bd57a684-9717-48fe-bd30-98cd3a6d5943,13.0,2.0
817fcfdd-2261-4c73-9382-67b1e4a61837,510291.0,46950.0
8b6407df-e1f7-43ea-8299-d222cc6b1300,393.0,113.0
f410a11b-292a-4baa-ae0d-b576146e988e,324821.0,38947.0
f176273c-863d-43f2-8663-b78bef943c64,470.0,160.0
bf83bc34-905f-45c8-b824-d8a2644b97c9,271.0,52.0
04d30bfa-4f5b-4e32-805d-a9ee6695d465,33160.0,5389.0
e06ba97e-34fe-4293-8c53-edfbc995c964,1425.0,317.0
68538f2a-9f40-4ef0-9a92-7f6cf36bf3ce,847356.0,79463.0
3685eeb2-a3f3-44c8-8802-b9a271847e39,460623.0,49275.0
438aec21-7c69-4053-9a4a-f0ed69954263,,
1f34c529-a8a4-493b-9bef-859d3b0cbad5,,
b1d4a16f-3636-4540-b51c-c2f6634078ad,1657.0,298.0
7de005f3-8f8e-4f3e-a93c-b259e7ea26c4,2066.0,511.0
3d3c4dc5-6e6b-4712-aeb2-a5cbcd1e91b5,219.0,65.0
c4866b1c-f25a-41cf-98f5-0722b7dc944f,587.0,122.0
d766a34d-57b3-41fc-8e46-f9853fe42144,1421.0,370.0
f7ede690-ed5c-46f9-83a2-2f2e4c97a3f2,49459.0,5110.0
2055d3d1-59e1-4e3c-8782-061021f71482,3083.0,416.0
fc2e42b3-fea5-4bf0-98ef-724f92fb45c5,382.0,98.0
190e7bbb-b7fb-4a60-9ea8-07eb3804a7b1,407.0,174.0
638dce72-790c-4d15-b1cb-f8ff0f179db9,1976.0,422.0
505fb278-f385-470e-b18b-5d1726acfa44,,
1c5fd623-52bc-49be-851d-45559797537d,33282.0,2776.0
5a7a9590-bcb0-4b61-8ee7-1aee9f0e1129,5.0,2.0
a7ab71cb-adb7-4d45-acf6-8b9968179ede,447085.0,44700.0
eb6f8bdc-079a-4253-a2c2-6f30b197af7e,2531.0,941.0
dddb7047-6c6e-45d4-8bf2-b5b7169ce6bb,167.0,78.0
4ba3bf31-2cfe-4d5f-843f-dc220f7bd681,4.0,2.0
896eb0a4-9da1-4fc2-8791-8328717fccfc,474.0,109.0
852acdb4-4804-47ad-83cb-7ddd3eb7ff2e,175.0,12.0
69c8bbf2-1b8c-453a-afd8-493dd689f2d6,,
7f466033-7b4e-4546-820c-e300c3e858d4,,
5147cae7-57ab-4ceb-a133-6219cd4c6014,11.0,10.0
110b5468-25c6-4473-9944-04d8312444d6,305798.0,40551.0
4c541d10-be47-45a7-b972-ce48ff6e8037,309862.0,33837.0
5b5e1b00-9ab4-4029-ae47-69ee023d6c0f,,
3e6d000e-27db-4fa6-81f6-675c062cf37b,475995.0,42043.0
d5dc1696-e2dc-4dd9-a1db-da00e80f5841,2091.0,203.0
4af92028-0c9e-436d-9e74-480ce841ac50,386.0,146.0
53f598c3-e1a8-4cbc-9fa7-f0dea7a3e7ad,962.0,178.0
f771b873-bb2c-4601-9891-632235be329e,3018.0,660.0
c269ef2c-ea90-4950-83e9-8bcf6ee573c6,100.0,37.0
282ff9b9-5540-415e-9b51-676a6fb10233,189179.0,27476.0
46ae3f03-1478-4293-8395-86bc137df80b,36.0,17.0
2b1597d0-4053-40d7-85b0-2e827fbb4097,192.0,51.0
c2ca4b7c-218f-48d8-9699-741b1e24ee13,1796.0,417.0
9d2b261a-dd1e-4c3b-ab15-368b55eed347,,
20ea8a2c-0e12-47e4-b450-111cd0fd018c,292972.0,42693.0
30cde367-2eb8-4689-a227-97d371e80fa6,513.0,109.0
fe84feae-43c2-4073-bc0f-5d045ae28947,1857.0,450.0
e75880a1-6077-454d-9b09-134805f25661,6725.0,1326.0
5e598280-3508-46f9-846f-ba1b97c8b81b,,
86ff2816-e245-487c-ba14-a612efbce7dd,397.0,100.0
4858475d-f07c-40de-beb0-a14d2c8b988e,1667.0,233.0
a8e3cbb4-3098-49a1-9684-bee31b0ae191,,
08119975-e901-497c-9056-5b9fa9df6595,2088.0,278.0
ff114f3e-1d86-4cd8-a64b-bf473a4b7789,1216.0,284.0
8f227a4f-27e8-4a95-b8ee-96e9aff94d7d,589.0,123.0
ee0e5823-3484-4ef7-b84a-f7023ecf9eb8,503.0,223.0
21336443-6f7d-41bc-a535-b3eb44d9b288,6000.0,474.0
73134e7a-f0c3-4c92-b5ad-85d4dd4f5018,500.0,69.0
5db8fba8-e30e-4d03-9a55-894b992a0015,570.0,145.0
e08c96ae-ce5a-49fa-a74b-eca1c4aee8a6,4184.0,1000.0
845c5f41-1f9c-4146-9852-418babbafc9d,768550.0,58797.0
dbc80372-1889-48a9-a514-b947fba29da9,807.0,189.0
b664e905-ed65-467d-980f-5c6cbeaf439d,308.0,126.0
bf143a6a-cbca-4031-a0ff-c07ed2d0e597,148.0,58.0
f18f8842-6798-4052-80f5-e5a9b01eada4,235.0,49.0
5365b72d-4efa-40df-ba32-6c939944cf5a,93.0,37.0
5064afa4-01c7-454c-848f-c382f9b3190f,382.0,145.0
d3d4f804-fd8c-48a8-9124-9b4d43e034e6,9217.0,1310.0
a564e94d-c754-4caa-92f7-b0236a3b4160,705.0,278.0
658c1e2f-bb95-4aef-b40f-181abf4b0657,222.0,57.0
300fc713-8c02-44f3-accd-829a887d9dfe,1540.0,326.0
69cc68f4-e606-4b07-922d-5cbf01a2d366,66.0,15.0
07059fa0-9638-4ba8-beb0-a5cf32aef698,994.0,256.0
1ff58d62-8c95-4614-96cf-5f3365490441,9263.0,1579.0
6dba34a4-aaa5-4bff-8c8a-96944016482c,419.0,80.0
8854f144-ade3-4d6e-93b8-f0012d417547,1024.0,80.0
0b274556-b9d6-455e-9d41-dd2855c7161e,,
d801309a-6a91-45e8-b109-bd7dc2a820bb,5169.0,960.0
54fdf91c-3c4b-4c73-a77d-855683f48f95,285330.0,30534.0
5cfc88b1-dd07-42d6-a516-2aac2cb65844,1309.0,249.0
ba7c0264-8c66-423e-bd75-65b469e717b9,171374.0,26204.0
5314f671-4876-4e8b-b8d9-ed901955614f,1.0,1.0
abfb1c27-4e06-4b33-b08a-38b4f1ba779d,2580.0,752.0
27f3c646-c715-4a16-a0fc-43ebb9b27fe5,1816.0,247.0
556b1786-81ac-4a31-870b-67c1b2bfd976,,
ed89bee5-fdb4-4667-9830-802a197c40d7,646.0,35.0
9dcf3881-0c88-4dfb-8d32-9de35305916c,1.0,1.0
a41f26e0-3e55-46c3-9bb6-ca668f731479,304.0,58.0
613d3360-0769-49d3-89e4-0a783774b4e7,96210.0,10104.0
fe0383eb-ada7-441f-847a-afe85ab642d1,1802.0,528.0
13bbaf68-d280-4278-8c7c-b90f6c917698,51064.0,7026.0
ca8b26b9-657c-4603-bad5-1808bdc6d79d,760.0,163.0
ef364e9f-75a0-468f-8cce-2410245c0d14,566.0,141.0
f46cb0eb-7b0d-4054-ad2b-f4d4682ca247,92.0,25.0
d7b9eabf-6ce6-4684-8443-1f0b86efd272,1032.0,358.0
f0b9d27a-49f7-4af4-8c11-06c7d6d7ce41,117570.0,15285.0
76917913-23bc-479f-8c29-6f7aa5160f18,128.0,67.0
37c84c2f-618d-48e7-bc5a-74cf4c6a4c34,10458.0,2517.0
5706db0f-44f6-4ba9-b204-ef8afb1ef0b0,74.0,24.0
20db9a04-9ed4-49ce-8a94-c2bf05d2e5e5,1168.0,198.0
7b9bf55f-aca7-49ae-9562-51c002df412d,5.0,4.0
3ed0f99b-c333-4e97-a91a-c358cf46e248,305209.0,40316.0
502ec9ab-3f30-4da7-8529-92b8994e282e,45252.0,7312.0
6b61f675-2e3e-488e-b435-28d2cd97ec6e,,
05626dc9-5e75-461e-bc9c-e714889f2fdc,403.0,74.0
1d4ff6aa-b29f-44e4-bed2-1231e6d53c81,701.0,195.0
51fdf63e-e515-4f1d-8bcf-4eac26ab1923,697.0,167.0
abfdb166-4552-46b7-b7dd-a3a620691dc1,123.0,23.0
a011fc66-6fdb-4404-a0a0-e8e9147e7a88,1189.0,217.0
7d3136b1-eea2-4d91-8f64-083d7b607636,7983.0,1136.0
7efb7e82-8f6a-4009-809b-fb6b05bf0296,278.0,77.0
390d8573-2c63-4ff5-b8c6-8987ac15863e,2055.0,330.0
2396d7e0-8210-406a-9538-8c01f725ad75,18243.0,4080.0
a18a2dc7-2473-4a1c-81d9-b1309f8dab12,1764.0,806.0
38060c68-33f9-4c8f-a992-7c70b8250f1f,165.0,82.0
ddc0898c-1a8a-4bca-a9a8-4cccfed3fe42,19975.0,3536.0
76447afb-6fa7-451c-bf1e-1d05c0997958,715.0,246.0
ed6b3bb3-d23e-41a9-bd88-530fecd018f7,362.0,135.0
7e59afa1-f2b4-4daf-9bc4-a491170e6fb2,218.0,33.0
f642a2fd-2d59-4a79-83c2-5a500803c160,368.0,70.0
80b02b00-38b6-49ea-9801-5c49e80ebf62,465.0,136.0
7f91b36b-8209-4160-8548-324078fca75e,131852.0,15368.0
c54d4977-f3dc-444f-8ce6-f7f46deed12b,118.0,4.0
518916fb-060d-47da-a320-5fa9eb364a69,11810.0,1339.0
0d60367a-71f4-463a-8b21-37865ee52834,65325.0,9883.0
76683352-5788-46ed-b490-63cd339c04d4,339.0,94.0
bcc2bf4a-734a-4e48-bdd4-74a601df60ca,292.0,57.0
8dde4139-0ae5-4615-8375-9f2b1753da41,337.0,95.0
e5e1f527-d8bd-46f3-9b49-740cf187918a,899.0,194.0
44f1e002-52d2-4b7c-b431-5cd5b7cc3d1c,836.0,228.0
545dc589-b112-4230-a5b0-bc70f7f7fc93,126283.0,16586.0
59142d29-49e0-4001-b717-e0c3ad612d6e,1.0,1.0
ced8f0ce-66cb-43da-95d4-715aa60a9d38,305578.0,37866.0
349a1d9f-d784-4c2b-bfab-58ef6591056c,,
6dec062f-e249-4919-bc86-39acdf17a655,707.0,168.0
223aef95-c83e-4cae-9466-bb6ad0fd30ac,57190.0,8153.0
232efb75-353c-4715-a2c7-b8aa542dbca3,52.0,12.0
8ca7606a-851a-4b16-9457-d22a07b49340,1377.0,366.0
3937f75a-3889-4a0d-8758-c0e509cafa2e,986.0,111.0
4a30582c-9999-4022-be52-ec483ed6d437,1476.0,419.0
e6a1924a-668f-4d1c-a894-86a98570f4db,758.0,139.0
9c2b3848-7ec9-4b30-9e11-bb163983ce72,426.0,133.0
6e45b1d6-4692-44be-83df-41e741f0cc8c,,
d53390f6-fb46-4eb2-a8c8-63aa67c12f95,369.0,75.0
a3930079-f298-43be-af13-1b822be797ba,,
6c7b46bb-5498-4b8d-a509-19af05a0db01,635.0,213.0
ff098591-68d4-4fc2-b378-e00293cd4608,233.0,67.0
e3c876b2-8040-4e2b-8df3-f74126b647bd,216.0,38.0
12de1f87-4999-4df5-bc5c-e88934658e4c,622.0,198.0
bd885753-3607-4a1d-bfa8-32c18a5a5d2c,757.0,69.0
cab96dfa-60bb-446d-8436-a160e32bc35c,108.0,44.0
f3c6c245-5899-4135-ad41-78b5d553258e,74.0,8.0
fd4b804d-606a-4b9b-8050-7fed37fe5f07,4426.0,636.0
3e0f2493-ad75-47e8-9961-0bdf120d3eeb,353.0,59.0
c1bcf46e-cdd8-42a9-a326-7a719303d329,1632.0,275.0
0c196c4f-bd21-404c-9169-4ec12704f535,1347.0,332.0
ec5017ac-5876-468c-96d3-8ca82b51841f,109655.0,11394.0
af41afb6-0848-4212-9f8a-edb16cae095d,776.0,193.0
3ce298dd-1af3-4523-b0a7-e7da31f4c851,11995.0,2095.0
f7b1484f-47c9-4d1a-bbc1-d0ad5bba192f,385.0,78.0
03184116-d223-468c-9bea-c39519ad0612,494.0,155.0
cc8d833e-acdc-4965-87cd-5bb55669afd3,206473.0,20470.0
9b347a38-772d-4019-b5ff-eeacd31109e3,,
993454e5-d6ba-4df2-8a70-57d4f9e8e5aa,235.0,45.0
c65e6e0d-a136-4076-b9ca-c495c8752d0c,,
96dfefff-2ffd-4d9b-a996-2ef9a6568d9c,14.0,8.0
17a07f75-02ae-4341-9826-44e5c34a6e89,2555.0,573.0
c90cb97f-1e67-4dbd-9fca-37ae8dbe3016,22.0,5.0
ed12098e-fca5-4419-8f44-6175f303a16c,754.0,180.0
78522e22-d34f-477a-a680-620c35a4f238,1926.0,579.0
c53bb27f-56e8-487e-9a39-f978c09875c0,251825.0,39673.0
1af9f56b-b721-4631-baab-149cf4e76237,4957.0,633.0
7d3ccc05-3268-41bb-89d9-386fbb7ed0cb,19.0,4.0
fab40cc9-2121-4930-92de-f48bf8fde22b,17855.0,5744.0
339da5b4-1f1e-4725-b512-b2467896e1af,641.0,116.0
e82d9321-d992-4221-93e1-b854a6b5eed7,10.0,3.0
2cc81d5e-8b69-4dcd-beaf-1d164bf22b4a,267.0,57.0
fe6a5106-c93c-4697-a677-14df1bc1a7b5,126712.0,18353.0
27e441a6-8497-44a1-a60a-e5a307afb41b,176.0,70.0
5186ff5c-e0d6-4c03-a87f-fe94792f4168,69673.0,10705.0
418e063e-e338-4360-8d9e-27437e11b022,6540.0,1352.0
9525ed72-4ce8-420a-95c2-9caad39a2418,1812.0,597.0
5a0b8f8c-a411-4ff9-ae10-eeec2982cb03,514.0,100.0
ce40a410-4e2b-4204-b071-9e2d5b76b52b,3249.0,512.0
112c4598-2553-465f-a515-ee72d3c65927,791.0,153.0
5fc9e156-90fc-42e8-b823-6d5c610414ea,11.0,6.0
0af46339-acf5-43a9-a9b7-2a050cfa0d1e,2090.0,406.0
4f4113fc-79df-472e-bbc0-d4aa9ecc61ed,246.0,41.0
055ebf17-9c50-425b-86cf-13c815691ec2,1066.0,143.0
e27941ad-7c1e-41d8-b582-cc8acfe7fe68,17810.0,2567.0
03fb562c-5619-46b0-a233-44a80955da85,3500.0,909.0
199651ed-0879-4d27-af6c-848637309c34,19612.0,3465.0
