area_mbid,area_name,area_sort_name,area_type,area_type_id,iso_codes,disambiguation,begin,end,ended
8698ecd8-3b89-4473-bd1e-93ba261df081,Castel Bolognese,Castel Bolognese,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3926bf7c-5f50-49e9-9fa6-aa8422ab998c,Gradisca d'Isonzo,Gradisca d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
069af98e-e5f9-4633-bbb5-ceadfc5dc625,Cordenons,Cordenons,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
bc804e49-b048-4828-850b-17d7f41f2fc4,Polcenigo,Polcenigo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f80b9ad6-c099-4265-90c3-226e5848e626,Riolo Terme,Riolo Terme,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
849f85e7-95e4-4922-b301-908eb88fda9b,Conselice,Conselice,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a87b9bc0-6d70-4425-a2ed-deea2f2a7c34,Moraro,Moraro,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c9dba820-2a00-47ac-9052-1cb0c2d1187d,Meduno,Meduno,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
84f96983-b6dd-42db-a94c-72f407fe661a,Medea,Medea,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8709e1df-bf86-4802-8710-07175d7ab16a,Staranzano,Staranzano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
d652d504-3432-488b-a8d6-9b941136d98c,Frisanco,Frisanco,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
b6215bc1-aac2-461c-a8d8-09ec6cbfdb10,Castelnovo del Friuli,Castelnovo del Friuli,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
6b72c4f7-669d-40c6-a4cd-60fc009ff9f3,Brisighella,Brisighella,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
712ef05a-ccee-41bf-97ec-35cab9bf868b,Fontanafredda,Fontanafredda,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
bedd8678-d1bd-4000-ae3b-66aed928e33d,Dogna,Dogna,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f2bfede3-360e-48c5-8bbd-d487e7b1091b,San Martino al Tagliamento,San Martino al Tagliamento,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
14dccf49-9a90-45ed-835c-e26511f1be19,San Giorgio della Richinvelda,San Giorgio della Richinvelda,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
13137741-6f1e-423a-9804-194426926be5,Turriaco,Turriaco,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a16a6c34-ca60-4497-99b8-1bfc506d8621,Cimolais,Cimolais,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a8b51e28-6aac-4136-9cee-82f4b26d0811,Montereale Valcellina,Montereale Valcellina,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3528c788-78a6-4a76-a174-527ca8cc7bf0,Grado,Grado,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
d0e05a86-4ea8-4d80-93cb-e080f549aded,Aviano,Aviano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
4911158b-abbb-4766-85dd-fa5cdc6526a8,Barcis,Barcis,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c6bda42c-7d1b-4b75-9ff6-391bc3a1b9a6,Sant'Arcangelo,Sant'Arcangelo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c9a3658d-d4f4-4d56-9c71-44f43af9bfc9,Claut,Claut,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3b1bdf80-2d0f-443a-9330-550e7d241f07,San Vito al Tagliamento,San Vito al Tagliamento,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
9b5205a9-be4a-47ed-8b6b-f3880ef26094,Viggiano,Viggiano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
59671afb-21fd-42dc-abad-b711a3e7a3d5,Bagnara di Romagna,Bagnara di Romagna,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
15232733-fe35-4802-8cd0-4e809930bdf5,Savoia di Lucania,Savoia di Lucania,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
7b4cd8de-0b38-43fd-859c-32231e38385a,Lugo,Lugo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
d3c7e754-c40b-4211-bfc2-32d975d86765,Andreis,Andreis,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
4022bfc4-a6ad-4f37-8403-36f301aaf570,Prata di Pordenone,Prata di Pordenone,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f1cb81f7-9377-44e9-bba6-1f0398133281,Cormons,Cormons,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8f7c3693-c435-4689-bfb0-f5ec6afa61bd,San Canzian d'Isonzo,San Canzian d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
dea5db6b-44b7-41de-806e-d80149a30827,Sant'Agata sul Santerno,Sant'Agata sul Santerno,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
5f763d03-82d9-4178-88c6-244e697fd013,Fusignano,Fusignano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c96c58a4-a507-41fe-941e-dd1715350ef0,Pinzano al Tagliamento,Pinzano al Tagliamento,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
9872a0ff-e652-4bfd-85b5-5b0a206fcdb0,Fiume Veneto,Fiume Veneto,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c9af2d43-4fb1-45ff-8190-d84a68fdb847,Monfalcone,Monfalcone,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
bc033668-5cc3-4cd2-b7b6-88324e5fa591,Spilimbergo,Spilimbergo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
04f61cc4-b6d9-4bc7-b7c2-0ef866fce08a,Tramonti di Sotto,Tramonti di Sotto,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c41f494b-3c36-4737-8453-36e4b8c0e7c7,Casarsa della Delizia,Casarsa della Delizia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
9068565b-42de-4b6d-b9ab-23e95e47f02e,Pasiano di Pordenone,Pasiano di Pordenone,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
b8b4cbf0-8b70-43eb-b372-a3fed2d7b09b,San Floriano del Collio,San Floriano del Collio,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
897776c7-c929-4b6c-b4a3-0b82d342eb37,Azzano Decimo,Azzano Decimo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
add11ebd-010e-4c2e-9900-420be851c08c,Chions,Chions,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
dbd4d996-4a5c-44bd-a74e-9e8c0b2d28f5,Fogliano Redipuglia,Fogliano Redipuglia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8a9efd00-750a-4d77-86a6-fc546cd2b3ef,Casola Valsenio,Casola Valsenio,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c3e4350e-33e1-4922-9043-b74d26a5fda6,Cotignola,Cotignola,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3c1ff060-abe4-4e58-99a9-4dce1183dd09,Tolve,Tolve,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
63b62a7d-54d6-47e5-9cc7-071e7e13d043,Tramonti di Sopra,Tramonti di Sopra,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8b4ce23d-eeda-418f-a733-cd8181638e14,Sesto al Reghena,Sesto al Reghena,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
736ec8c3-97a5-451b-8cea-c68ef14d1d2e,Capriva del Friuli,Capriva del Friuli,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
5472dd5c-4e11-466f-b11c-217dd29dd30b,Pignola,Pignola,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
e79cf693-de50-4cb0-bad6-80661d2ccbd1,Sasso di Castalda,Sasso di Castalda,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a9500d06-4675-41c2-802b-d7c4524092a6,Spinoso,Spinoso,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3c1ea17f-7f4f-469d-8f25-a847f72a86cb,Cervia,Cervia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
0c73e6b5-b1b3-4998-b1a1-a6a6c9fe8aad,Mossa,Mossa,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
2f43bd50-bada-4c10-a2a5-2c585c046b0c,Savogna d'Isonzo,Savogna d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8b178f71-e3c3-4eed-9f1e-5a972603a18f,Farra d'Isonzo,Farra d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f386109c-d47d-4fd2-bf5f-547af1a01a5a,Massa Lombarda,Massa Lombarda,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
6feae64f-37b5-4db5-8120-22ab58dccfe0,Roveredo in Piano,Roveredo in Piano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
4dd69e50-3b98-4175-9066-eaf9aebe4beb,Faenza,Faenza,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
c2256257-d073-4c2e-8efe-b5343724680f,Aquileia,Aquileia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
6fd09cbc-ba2c-4809-bfd7-54ac7b745610,Russi,Russi,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
5c4b22c3-c28a-4688-b93a-9f30cb2b2547,Mariano del Friuli,Mariano del Friuli,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f2ebc57b-92c5-4f13-ab20-3a948840baa2,Porcia,Porcia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
9f27ce5f-cd0d-4ca8-97db-f3b35bcd42f8,San Lorenzo Isontino,San Lorenzo Isontino,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
132db20d-8426-461e-bcaf-9b5f597ad453,Bagnacavallo,Bagnacavallo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
27adcccf-8d37-414e-9c0e-414fa3eebd5e,Sagrado,Sagrado,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a8b9835d-4e7a-4c0b-8ab8-efd121bde6a9,Sequals,Sequals,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
b4953ec2-d70a-41e0-9032-ba095cd59eb0,Arta Terme,Arta Terme,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f296f958-6f2d-432d-ae27-cb69f6c39a4c,Pravisdomini,Pravisdomini,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
fee87309-0aea-426a-893e-feacf70c9bdc,Budoia,Budoia,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a9d770c0-ed4f-4e4c-819f-8008cd5d34a1,Pietrapertosa,Pietrapertosa,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
a2880c04-6835-4d24-9056-ab6349a32333,San Quirino,San Quirino,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f1a51787-8884-4772-99ac-dbffd52704bd,Romans d'Isonzo,Romans d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
ccaf89b9-9637-465b-ba5c-f779fd0919e4,Villesse,Villesse,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
7e943e62-1d68-4da2-bda4-5e6c9a57542f,San Severino Lucano,San Severino Lucano,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
e85b7447-3a60-4ec0-b751-388a65d64e83,Vaglio Basilicata,Vaglio Basilicata,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8157aeb0-045d-4832-80ba-adb3f7364fbc,Cavasso Nuovo,Cavasso Nuovo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
aa8a8bc6-4e24-4b41-a925-efe8d6a9e576,San Costantino Albanese,San Costantino Albanese,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
d6fbdcd4-701e-4157-865a-21f8f9b502e6,Sant'Angelo Le Fratte,Sant'Angelo Le Fratte,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
9748b22b-bb2d-4fea-b3fa-70c3f0fd1afc,Arba,Arba,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
f8fc4aca-7c4a-4c7f-89f7-05c9991b74f9,Brugnera,Brugnera,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
7d5419ad-a2f3-4121-98be-dfe7345cf896,Cordovado,Cordovado,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
0bbfc0a8-6592-495d-901d-b0fb07a4b3fe,Alfonsine,Alfonsine,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
fcb2f09b-05a1-4227-a5d3-aac626146d1d,Viggianello,Viggianello,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
ecf2d113-49b0-42b4-8497-acfe730ebffe,Dolegna del Collio,Dolegna del Collio,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
3f6046e2-3274-4cee-a62e-58600a17e2cf,San Pier d'Isonzo,San Pier d'Isonzo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
db1505a3-e4e7-4be2-adba-041a36e1ddd1,Solarolo,Solarolo,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
61b67dcf-eee8-4329-b0bc-42d1f3f6b6eb,Ronchi dei Legionari,Ronchi dei Legionari,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
fad94f6e-68c5-4553-afe7-7b66c4f732b6,Erto e Casso,Erto e Casso,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
dc822ff0-5a26-4610-8c1c-b44e7f60f06f,Arzene,Arzene,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
51c1d2fc-88d6-43c1-8ba8-8c76e4198853,Sacile,Sacile,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
1bddee72-5b4b-48d4-8421-55b392c110dd,Doberdò del Lago,Doberdò del Lago,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
83ae4960-1575-419e-b6b6-f1fef1fd019e,Caneva,Caneva,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
8514a078-3c6d-4390-bd51-3af5874cb7d6,Maniago,Maniago,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
5758010d-fb26-4780-a978-2e313b3a044e,Clauzetto,Clauzetto,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
b7f7488c-a6ca-417e-bc97-964e2fd33b49,Fanna,Fanna,Municipality,17246454-5ac4-36a1-b81a-4753eb2dab20,,,,,False
163b5e07-ddaf-40f4-92a5-d415e73d61a6,Norris Arm,Norris Arm,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
fac48037-4806-445c-8295-f8255380e65f,Slangerup,Slangerup,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d9a4d785-ae0c-40b8-b94f-dfe0fe38ed2d,Champney's West,Champney's West,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d8d9dbc8-91a2-4513-853e-ae19a2fc7d9c,Cape St. George,Cape St. George,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d83fc091-beb0-43d0-88f1-9d94746b0b74,Hardisty,Hardisty,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f1d744cb-4ba3-4c69-a4ef-ac711c44e7a1,Mississippi Mills,Mississippi Mills,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
71d6dc8f-c508-488a-b45a-df30ed93cc25,Bonavista,Bonavista,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
6f40e420-a0fa-436b-9a20-0b9d14a71d79,Channel-Port aux Basques,Channel-Port aux Basques,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7f54a310-a6df-4c12-aa5e-d602d302efec,Change Islands,Change Islands,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f403f701-e035-4f81-ab3e-52b2c30dee3f,Bay de Verde,Bay de Verde,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
55c480df-2e90-4f21-99e0-d91473f0204a,Cartwright,Cartwright,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
82b8f82b-4a04-4fea-a8d9-dcbd776fa1d4,Bishop's Cove,Bishop's Cove,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d7213f17-f82b-4983-85d6-f476ea444664,Botwood,Botwood,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f32cee63-2a47-40f1-ba4b-7e4392b205ab,Bird Cove,Bird Cove,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c9f8e853-228e-4b88-993d-1b34ab2146c6,Harbour Main-Chapel's Cove-Lakeview,Harbour Main-Chapel's Cove-Lakeview,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c2b5b98f-0a5f-4361-950b-5d42e73c6557,Happy Adventure,Happy Adventure,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f9ee8474-75a1-4e2c-a4f9-cd03e98626ce,Bay L'Argent,Bay L'Argent,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7e8134b5-d24b-4279-9375-26fabd8f98b5,Brighton,Brighton,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
2d74c2c7-3610-4182-82ad-f0ff2022fd10,Appleton,Appleton,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e351b57c-9b9f-4045-ab3d-754816333e0e,Rapid City,Rapid City,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d232881d-3fb1-4b67-a993-44611accfa3b,Aquaforte,Aquaforte,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
029732b9-5601-4f68-ae1b-df1dcf725af8,Carmanville,Carmanville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
