recording_mbid,recording_name,recording_length_ms,video,first_release_date,disambiguation,artist_credit_name,artist_names,artist_mbids,primary_artist_name,primary_artist_mbid,isrcs
b4e11510-1c22-445b-846b-cf01cc34fb87,Wouldn't It Be Nice,165000,False,,,The Beach Boys,The Beach Boys,ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,ebfc1398-8d96-47e3-82c3-f782abcdb13d,
dd6e4774-be83-41f1-89fb-f0c6ee782563,Hawaii Five‐O,,False,,,The Ventures,The Ventures,b2cc8903-0077-4bef-8454-ac5cef53d126,The Ventures,b2cc8903-0077-4bef-8454-ac5cef53d126,
b3b2cc35-2f01-40ab-a487-271203a3d474,This Is Love,,False,,,George Harrison,George Harrison,42a8f507-8412-4611-854f-926571049fa0,George Harrison,42a8f507-8412-4611-854f-926571049fa0,
0b14ff1d-3f32-4f3f-808b-ead5dbe3f65a,Sunshine Superman,,False,,,Donovan,Donovan,72d7d717-0837-4f2a-9641-d0f9fdd3acf7,Donovan,72d7d717-0837-4f2a-9641-d0f9fdd3acf7,
5926110f-2c25-4750-ad7f-ca422870b5a4,"Fun, Fun, Fun",196000,False,,,The Beach Boys,The Beach Boys,ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,ebfc1398-8d96-47e3-82c3-f782abcdb13d,
ef90dbee-ff9d-4133-87f4-85af7c3f2405,Real Man,,False,,,Todd Rundgren,Todd Rundgren,1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d,Todd Rundgren,1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d,
d7ce0151-0761-41a5-9bda-d0f9bb27fbc8,The Dance,,False,,,Derrick May,Derrick May,371c8525-8111-4497-83ba-1ead9d7ed148,Derrick May,371c8525-8111-4497-83ba-1ead9d7ed148,
9b4f990a-cc93-4383-9449-909128920f37,I Love You,,False,,,Donna Summer,Donna Summer,b60527cc-54f3-4bbe-a01b-dcf34c95ae14,Donna Summer,b60527cc-54f3-4bbe-a01b-dcf34c95ae14,
c972c712-55db-4d21-b045-a8d6dd82e256,Blue Monday,,False,,,Fats Domino,Fats Domino,e787de5d-49e2-4b1f-9bde-1fd3a671b971,Fats Domino,e787de5d-49e2-4b1f-9bde-1fd3a671b971,
8266a4c2-3027-41d3-9bfa-ae5cb6f04de9,Let's Groove,,False,,,"Earth, Wind & Fire","Earth, Wind & Fire",535afeda-2538-435d-9dd1-5e10be586774,"Earth, Wind & Fire",535afeda-2538-435d-9dd1-5e10be586774,
319dae5a-e305-4fd3-bf6f-cd73a88edd68,Finally,,False,,part of “Ministry of Sound: The Chillout Annual 2002” DJ-mix,Kings of Tomorrow feat. Julie McKnight,Kings of Tomorrow|Julie McKnight,8b391c81-dc53-4b0e-aa09-3d01292496e8|8cc3e928-e748-4373-aa14-cd7c2b7e84dd,Kings of Tomorrow,8b391c81-dc53-4b0e-aa09-3d01292496e8,
e442d2c6-2f07-42dd-867f-a3384d1e83ba,What's This Life For?,,False,,,Creed,Creed,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,Creed,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,
d42d625d-f5a4-4c2a-935e-9bcb7ee8da13,One,,False,,,Creed,Creed,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,Creed,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,
4a0d36be-450b-4fd4-a376-58a05fa5b7de,Magic,,False,,,The Black Eyed Peas feat. Terry Dexter,Black Eyed Peas|Terry Dexter,d5be5333-4171-427e-8e12-732087c6b78e|7796eed0-9716-42d4-ab3f-f9a25c22069e,Black Eyed Peas,d5be5333-4171-427e-8e12-732087c6b78e,
87fa6b93-f546-4b75-8b93-5005b2499923,Walk Right Back,,False,,,The Everly Brothers,The Everly Brothers,091ec508-877f-4e3c-92a3-10903bbbc7ad,The Everly Brothers,091ec508-877f-4e3c-92a3-10903bbbc7ad,
68410d9f-c6a1-4971-92b2-43bde5064964,Wonderful Christmas Time,,False,,,Paul McCartney,Paul McCartney,ba550d0e-adac-4864-b88b-407cab5e76af,Paul McCartney,ba550d0e-adac-4864-b88b-407cab5e76af,
9f6bd131-7ff3-4c20-95e6-8aa141a72eeb,Rock and Roll Music,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
6411417b-7d76-4c84-adcf-61cd43071f0c,Maria,,False,,,Blondie,Blondie,4d2956d1-a3f7-44bb-9a41-67563e1a0c94,Blondie,4d2956d1-a3f7-44bb-9a41-67563e1a0c94,
05a4514a-afcb-4b5f-82c6-828d13a0f097,Sky,296800,False,,,Ra,Ra,b62f2a5d-ee82-482f-a10d-536c929edfff,Ra,b62f2a5d-ee82-482f-a10d-536c929edfff,
c3ec8499-6456-4a78-aea1-6b2c47e42160,Raining in My Heart,194866,False,,,Leo Sayer,Leo Sayer,74df4e2f-fe75-4b4a-87c5-3f1b4bc95aa2,Leo Sayer,74df4e2f-fe75-4b4a-87c5-3f1b4bc95aa2,
d761b2fa-e02e-4b36-a4e3-7726393c096b,Oh Girl,228933,False,,,Leo Sayer,Leo Sayer,74df4e2f-fe75-4b4a-87c5-3f1b4bc95aa2,Leo Sayer,74df4e2f-fe75-4b4a-87c5-3f1b4bc95aa2,
6f0aff9b-f516-40c2-b3f6-0e7c1eaac20f,I Do,131866,False,,,Weezer,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,
9c65c6c0-33e9-4f1b-9b62-0bb92051656d,Starlight,216546,False,,,Weezer,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,
963fcd27-ec36-4825-9f1c-dbeaab4939bb,Brown Eyed Girl,211773,False,,,Weezer,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,
902ed2ab-7f62-4eef-b99d-4feca1da341e,Love Me Do,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
a811035c-1d1e-4f72-bcf0-459864d302c1,And I Love Her,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
30e4173a-12bd-49cc-a9f4-0fa590365f1a,Tell Me Why,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
fd55a488-5aea-4a80-a3c2-bcc36361b1cf,Rock and Roll Music,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
05ca4d39-dc97-43b4-99f4-ca8b2db5d398,Money,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
e8be1cb7-c05f-436d-9929-ed8f9df2c250,I’ll Be Back,,False,,,The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
6d935c62-bc0c-46a8-898d-1cc3d9a8eeed,3,,False,,,Tenacious D,Tenacious D,148ddea2-6839-4354-8e2c-5dfadf136b7f,Tenacious D,148ddea2-6839-4354-8e2c-5dfadf136b7f,
fa3a124e-9401-4428-b2da-5961d284aec0,Nightrain,,False,,Live at Rock in Rio,Guns N’ Roses,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,
07fc823c-ab32-44a8-a956-cb4bcbdee779,Rocket Queen,,False,,Live at Rock in Rio,Guns N’ Roses,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,
1b30f476-f94d-4e92-8587-c3d9327f1fb9,Paradise City,,False,,Live at Rock in Rio,Guns N’ Roses,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N’ Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,
