mode,reference_track,reference_artist,reference_genre,reference_country,mean_audio_similarity,mean_ai_context_similarity,same_genre_ratio,same_country_ratio,artist_diversity_ratio,genre_diversity
proche,18 ~eighteen~,Masaharu Fukuyama,acoustic,,0.9499000000000001,0.8223999999999999,0.6,,1.0,5
equilibre,18 ~eighteen~,Masaharu Fukuyama,acoustic,,0.9499000000000001,0.8223999999999999,0.6,,1.0,5
decouverte,18 ~eighteen~,Masaharu Fukuyama,acoustic,,0.9566,0.8220999999999999,0.0,,1.0,10
proche,What You Want,Angeloh,afrobeat,,0.9583000000000002,0.9082000000000001,1.0,,1.0,1
equilibre,What You Want,Angeloh,afrobeat,,0.9583000000000002,0.9082000000000001,1.0,,1.0,1
decouverte,What You Want,Angeloh,afrobeat,,0.9784999999999999,0.8552,0.0,,1.0,9
proche,Here Without You,3 Doors Down,alt-rock,US,0.9667,0.9186000000000001,0.6,1.0,1.0,4
equilibre,Here Without You,3 Doors Down,alt-rock,US,0.9667,0.9186000000000001,0.6,1.0,1.0,4
decouverte,Here Without You,3 Doors Down,alt-rock,US,0.9802000000000001,0.9158999999999999,0.0,1.0,1.0,5
proche,還是覺得你最好,Jacky Cheung,cantopop,,0.9570000000000002,0.9096000000000001,1.0,,1.0,1
equilibre,還是覺得你最好,Jacky Cheung,cantopop,,0.9570000000000002,0.9096000000000001,1.0,,1.0,1
decouverte,還是覺得你最好,Jacky Cheung,cantopop,,0.9571999999999999,0.8547,0.1,,1.0,6
proche,Trenzas,Lidia Borda;Brian Chambouleyron;Esteban Morgado;Damian Bolotin;Walter Castro;Mono Hurtado,tango,,0.9791,0.8641,1.0,,1.0,1
equilibre,Trenzas,Lidia Borda;Brian Chambouleyron;Esteban Morgado;Damian Bolotin;Walter Castro;Mono Hurtado,tango,,0.9791,0.8641,1.0,,1.0,1
decouverte,Trenzas,Lidia Borda;Brian Chambouleyron;Esteban Morgado;Damian Bolotin;Walter Castro;Mono Hurtado,tango,,0.9673,0.8486,0.0,,1.0,7
proche,Small Axe,Greensky Bluegrass,bluegrass,US,0.9526000000000002,0.9144000000000001,1.0,1.0,1.0,1
equilibre,Small Axe,Greensky Bluegrass,bluegrass,US,0.9526000000000002,0.9144000000000001,1.0,1.0,1.0,1
decouverte,Small Axe,Greensky Bluegrass,bluegrass,US,0.9621999999999999,0.8727000000000001,0.0,1.0,1.0,9
proche,It’s Alright - DEL-30 Remix,Marshall Jefferson;George Smeddles;Paris Brightledge;DEL-30,chicago-house,,0.9594999999999999,0.8531,1.0,,1.0,1
equilibre,It’s Alright - DEL-30 Remix,Marshall Jefferson;George Smeddles;Paris Brightledge;DEL-30,chicago-house,,0.9609000000000001,0.8508,1.0,,1.0,1
decouverte,It’s Alright - DEL-30 Remix,Marshall Jefferson;George Smeddles;Paris Brightledge;DEL-30,chicago-house,,0.9772,0.8203,0.0,,1.0,5
proche,Sanctuary!,Alan Menken;Chorus - The Hunchback Of Notre Dame,disney,US,0.9832000000000001,0.8526999999999998,0.6,0.9,1.0,4
equilibre,Sanctuary!,Alan Menken;Chorus - The Hunchback Of Notre Dame,disney,US,0.9803999999999999,0.8543999999999999,0.6,0.9,1.0,4
decouverte,Sanctuary!,Alan Menken;Chorus - The Hunchback Of Notre Dame,disney,US,0.9749,0.8581,0.0,1.0,1.0,9
